internal_error_code,error_description,code_detail,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
BAD_REQUEST_PAYMENT_CARD_HOLDER_AUTHENTICATION_FAILED,Customer authentication failed due to incorrect details,authentication_failure,Business,Customer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_OTP_MAXIMUM_ATTEMPTS_REACHED,User has exceeded the max number of pin attempts for card,authorization_failure,Business,Customer,Retry with another card,Authentication,D
BAD_REQUEST_PAYMENT_PIN_ATTEMPTS_EXCEEDED,User has exceeded the max number of pin attempts for card,authorization_failure,Business,Customer,Retry with another card,Authentication,D
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,User has cancelled the transaction,user_cancelled,Business,Customer,Please retry again,Initiation,D
BAD_REQUEST_PAYMENT_CANCELLED,User has cancelled the transaction,user_cancelled,Business,Customer,Please retry again,Initiation,D
BAD_REQUEST_PAYMENT_DECLINED_BY_CLICKING_CANCEL,User has cancelled the transaction,user_cancelled,Business,Customer,Please retry again,Initiation,D
BAD_REQUEST_PAYMENT_CANCELLED_BY_CUSTOMER,User has cancelled the transaction,user_cancelled,Business,Customer,Please retry again,Initiation,D
BAD_REQUEST_PAYMENT_CARD_WITHDRAWAL_LIMITS_EXCEEDED,The customer has exceeded the balance or credit limit available on their card.,limit_breach,Business,Customer,Card limit exceeded - Retry with another card or payment method,Authorization,D
BAD_REQUEST_CARD_DAILY_LIMIT_REACHED,The customer has exceeded the balance or credit limit available on their card.,limit_breach,Business,Customer,Card limit exceeded - Retry with another card or payment method,Authorization,D
BAD_REQUEST_PAYMENT_PIN_INCORRECT,The PIN entered is incorrect,authorization_failure,Business,Customer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_PIN,The PIN entered is incorrect,authorization_failure,Business,Customer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_CVV,The CVV entered is incorrect,authorization_failure,Business,Customer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,The customer has exceeded the balance or credit limit available on their card.,insufficient_funds,Business,Customer,Insufficient balance - Retry with another card or payment method,Authorization,D
BAD_REQUEST_PAYMENT_CARD_EXPIRED,The card has expired,invalid_card,Business,Customer,Retry with any other valid card,Authentication,D
