internal_error_code,error_description,code_detail,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,payment_time_out,Technical,Customer,,,
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,user_cancelled,Business,Customer,,,N
BAD_REQUEST_PAYMENT_FAILED,Payment failed,payment_failed,Technical,Gateway,,,D
BAD_REQUEST_PAYMENT_NETBANKING_CANCELLED_BY_USER,Payment processing via netbanking cancelled by user by clicking cancel on bank transfer page,user_cancelled,Business,Customer,,,N
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,request_time_out,Technical,Gateway,,,I
GATEWAY_ERROR_UNKNOWN_ERROR,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Gateway,,,I
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,Account Balance is insufficient,insufficient_funds,Business,Customer,,,N
GATEWAY_ERROR_HEADLESS_PARSING_FAILED,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Gateway,,,I
BAD_REQUEST_NETBANKING_USER_NOT_REGISTERED,User is not registered for NetBanking payments.,invalid_user,Business,Customer,,,N
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,Payment processing failed due to error at bank or wallet gateway,invalid_request,Technical,Gateway,,,D
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,Payment failed because Transaction amount limit has exceeded,limit_breach,Business,Customer,,,N
BAD_REQUEST_PAYMENT_CANCELLED_AT_NETBANKING_PAYMENT_PAGE,Payment processing cancelled by customer at netbanking payment page,user_cancelled,Business,Customer,,,N
GATEWAY_ERROR_PAYMENT_FAILED,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Gateway,,,I
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,Payment processing failed due to error at bank or wallet gateway,verify_failed,Technical,Gateway,,,I
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,Payment processing failed due to error at bank or wallet gateway,checksum_error,Technical,Gateway,,,D
SERVER_ERROR_RUNTIME_ERROR,The server encountered an error. The incident has been reported to admins.,runtime_error,Technical,Razorpay,,,I
GATEWAY_ERROR_FATAL_ERROR,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Gateway,,,I
SERVER_ERROR_LOGICAL_ERROR,The server encountered an error. The incident has been reported to admins.,logical_error,Technical,Razorpay,,,I
BAD_REQUEST_VALIDATION_FAILURE,Validation Failure,validation_failed,Technical,Gateway,,,I
SERVER_ERROR,The server encountered an error. The incident has been reported to admins.,server_error,Technical,Razorpay,,,I
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,Payment processing failed due to error at bank or wallet gateway,duplicate_request,Technical,Customer,,,D
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,Payment failed because of invalid account,invalid_user,Business,Customer,,,N
BAD_REQUEST_USER_ACCOUNT_LOCKED,Your account has been locked,invalid_user,Business,Customer,,,N
BAD_REQUEST_PAYMENT_PENDING_AUTHORIZATION,Payment is pending authorization from approver.,authorization_pending,Business,Customer,,,N
SERVER_ERROR_MULTIPLE_SUCCESS_TRANSACTIONS_IN_VERIFY,The server encountered an error. The incident has been reported to admins.,multiple_transactions,Technical,Customer,,,D
BAD_REQUEST_USER_ACCOUNT_DISABLED,Your account has been disabled,invalid_user,Business,Customer,,,N
GATEWAY_ERROR_REQUEST_ERROR,Payment processing failed due to error at bank or wallet gateway,req_error,Technical,Gateway,,,I
BAD_REQUEST_VALIDATION_FAILURE,Failed checksum verification,checksum_error,Technical,Customer,,,D
SERVER_ERROR_AMOUNT_TAMPERED,The server encountered an error. The incident has been reported to admins.,amount_tampered,Technical,Customer,,,D
BAD_REQUEST_PAYMENT_BANK_SYSTEM_ERROR,Payment failed due to error in the bank system,bank_error,Technical,Bank,,,I
SERVER_ERROR_NBPLUS_PAYMENT_SERVICE_FAILURE,The server encountered an error. The incident has been reported to admins.,service_failed,Technical,Razorpay,,,I
BAD_REQUEST_PAYMENT_PENDING_AUTHORIZATION,Payment processing cancelled by user,user_cancelled,Business,Customer,,,N
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment declined because it didn't pass all risk checks,risk_decline,Business,Customer,,,N
BAD_REQUEST_ERROR,Bad request,bad_request,Technical,Customer,,,D
GATEWAY_ERROR_INVALID_RESPONSE,Payment processing failed due to error at bank or wallet gateway,invalid_response,Technical,Gateway,,,I
