internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_VERIFICATION_FAILED,Payment verification failed,payment_timed_out,Technical,gateway,Retry with another card,payment_authorization,N
GATEWAY_ERROR_TRANSACTION_NOT_PRESENT,Payment Failed,gateway_technical_error,Technical,gateway,Non actionable,payment_authorization,N
GATEWAY_ERROR_NO_RECORDS_FOUND,Payment declined by card issuing bank as card may be inactive or not allowed for online payments. Please use another card or contact bank.,gateway_technical_error,Technical,gateway,Non actionable,payment_authorization,N
GATEWAY_ERROR_CARD_RUPAY_MAESTRO_NOT_ENABLED,The card does not support this type of purchase.,card_network_not_enabled,Business,business,,payment_initiation,I
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Customer has cancelled the transaction,payment_cancelled,Business,customer,Please retry again,payment_authentication,D
BAD_REQUEST_PAYMENT_CANCELLED,Customer has cancelled the transaction,payment_cancelled,Business,customer,Please retry again,payment_authentication,D
BAD_REQUEST_PAYMENT_DECLINED_BY_CLICKING_CANCEL,Customer has cancelled the transaction,payment_cancelled,Business,customer,Please retry again,payment_authentication,D
BAD_REQUEST_PAYMENT_CANCELLED_BY_CUSTOMER,Customer has cancelled the transaction,payment_cancelled,Business,customer,Please retry again,payment_authentication,D
GATEWAY_ERROR_INVALID_MERCHANT,The merchant is not registered with gateway,server_error,Business,internal,Post failure Communication to merchant,payment_initiation,I
BAD_REQUEST_MERCHANT_INVALID,The merchant is not registered with gateway,server_error,Business,internal,Post failure Communication to merchant,payment_initiation,I
GATEWAY_ERROR_PAYMENT_DECLINED_TERMINAL_NOT_ALLOWED,The selected terminal is not allowed for payments,server_error,Business,internal,Post failure Communication to merchant,payment_initiation,N
GATEWAY_ERROR_TRANSACTION_NOT_PERMITTED,Payment declined by card issuing bank as card may be inactive or not allowed for online payments. Please use another card or contact bank.,card_declined,Business,issuer_bank,Please contact the card issuer for more information,payment_authorization,N
GATEWAY_ERROR_CARD_INVALID_AMOUNT,Invalid amount or currency,transaction_limit_exceeded,Business,customer,Check with merchant/ gateway,payment_authorization,D
GATEWAY_ERROR_PAYMENT_INVALID_CURRENCY,Invalid amount or currency,invalid_currency,Business,business,Check with merchant/ gateway,payment_initiation,D
GATEWAY_ERROR_CERTIFICATE_VALIDATION_FAILED,Certificate validation failed,gateway_technical_error,Technical,gateway,Check with merchant/ gateway,payment_authorization,D
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,A transaction with identical amount and credit card information was submitted very recently.,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_DUPLICATE_TRANSACTION,A transaction with identical amount and credit card information was submitted very recently.,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_ORDER_EXISTS,A transaction with identical amount and credit card information was submitted very recently.,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_MESSAGE_ERROR,Invalid Payment Data,gateway_technical_error,Technical,gateway,Check with merchant/ gateway,payment_authorization,D
GATEWAY_ERROR_REQUEST_ERROR,Invalid Payment Data,gateway_technical_error,Technical,gateway,Check with merchant/ gateway,payment_authorization,D
GATEWAY_ERROR_DATA_MISMATCH,Invalid Payment Data,server_error,Technical,internal,Check with merchant/ gateway,payment_initiation,D
GATEWAY_ERROR_PAYMENT_MISSING_DATA,Missing Payment Data,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_INVALID_FORMAT,Invalid payment format,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_INVALID_JSON,Invalid payment format,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_INVALID_TRANSACTION,Payment declined by card issuing bank as card may be inactive or not allowed for online payments. Please use another card or contact bank.,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_TRANSACTION_TYPE_NOT_SUPPORTED,Transaction type is not not supported,server_error,Technical,internal,System Retry,payment_initiation,I
GATEWAY_ERROR_AGGREGATOR_DOWN,Aggregator not available,payment_timed_out,Technical,gateway,System Retry,payment_authorization,I
BAD_REQUEST_PAYMENT_TIMED_OUT_AT_GATEWAY,The request was received but a timeout occurred at the payment processor.,payment_timed_out,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_REQUEST_TIMEOUT,The request was received but a timeout occurred at the payment processor.,payment_timed_out,Technical,gateway,System Retry,payment_authentication,I
GATEWAY_ERROR_ACQUIRER_UNAVAILABLE,Payment Timed Out,gateway_technical_error,Technical,gateway,System Retry,payment_authentication,I
GATEWAY_ERROR_GENERIC_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_SUPPORT_FAILED,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_TRANSACTION_DECLINED,Technical Error,card_declined,Technical,issuer_bank,System Retry,payment_authorization,I
GATEWAY_ERROR_GENERIC_TRANSACTION_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_OTPELF_FAILURE,Technical Error,server_error,Technical,internal,System Retry,payment_authentication,I
GATEWAY_ERROR_SWITCH_UNOPERATIVE,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_COMMUNICATION_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_SQL_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_FATAL_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
GATEWAY_ERROR_INTERNAL_SERVER_ERROR,Technical Error,gateway_technical_error,Technical,gateway,System Retry,payment_authorization,I
BAD_REQUEST_PAYMENT_FAILED,Payment Failed,payment_failed,Technical,gateway,Non actionable,payment_authorization,N
BAD_REQUEST_MERCHANT_RECURRING_PAYMENTS_NOT_SUPPORTED,Recurring payments not supported for merchant,recurring_payment_not_enabled,Technical,business,Post failure Communication to merchant,payment_initiation,N
BAD_REQUEST_VALIDATION_FAILURE,Merchant validation failed,input_validation_failed,Technical,business,Non actionable,payment_initiation,N
BAD_REQUEST_PAYMENT_FAILED_BECAUSE_SESSION_EXPIRED,Session expired,payment_session_expired,Technical,customer,Non actionable,payment_authentication,N
BAD_REQUEST_OPERATION_NOT_ALLOWED_FOR_TEST_ACCOUNT,Operation not allowed for test account,live_mode_not_enabled,Technical,business,Non actionable,payment_initiation,N
BAD_REQUEST_ORDER_EXISTS,Duplicate order ID used for payment.,input_validation_failed,Technical,business,Non actionable,payment_initiation,N
BAD_REQUEST_PAYMENT_INVALID_AMOUNT_OR_CURRENCY,Invalid amount or currency,invalid_amount,Business,business,Retry with another card,payment_initiation,D
GATEWAY_ERROR_INVALID_PAYMENT_DATA,Payment Failed,server_error,Technical,internal,Non actionable,payment_initiation,N
