internal_error_code,error_description,reason,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
BAD_REQUEST_CARDLESS_EMI_USER_DOES_NOT_EXIST,User does not have an account with the selected provider,invalid_user,,Customer,,,
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,payment_time_out,,Gateway,,,
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_NOT_APPROVED,Cardless Emi credit limit of customer not approved,limit_not_approved,,Customer,,,
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,user_cancelled,,Customer,,,
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_EXPIRED,Cardless Emi credit limit of customer has expired,limit_expired,,Customer,,,
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_NOT_ACTIVATED,Cardless Emi credit limit of customer not activated,limit_inactive,,Customer,,,
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_EXHAUSTED,Cardless Emi credit limit of customer has exhausted,limit_breach,,Customer,,,
BAD_REQUEST_PAYMENT_FAILED,Payment failed,payment_failed,,Gateway,,,
GATEWAY_ERROR_CARDLESS_EMI_PAYMENT_FAILED_PARTNER,Cardless Emi payment failed by the provider,payment_failed,,Network,,,
BAD_REQUEST_EMI_PLANS_DO_NOT_EXIST,Emi plans do not exist,emi_plan_unavailable,,Bank,,,
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,request_timeout,,Gateway,,,
BAD_REQUEST_CARDLESS_EMI_INVALID_TOKEN,Invalid token set for cardless emi,invalid_token,,Merchant,,,
BAD_REQUEST_CARDLESS_EMI_MAXIMUM_AMOUNT_LIMIT,Amount more than the maximum amount limit,limit_breach,,Customer,,,
GATEWAY_ERROR_FATAL_ERROR,Payment processing failed due to error at bank or wallet gateway,,,Gateway,,,
BAD_REQUEST_VALIDATION_FAILURE,Failed checksum verification,checksum_error,,Merchant,,,
SERVER_ERROR_RUNTIME_ERROR,The server encountered an error. The incident has been reported to admins.,,,Razorpay,,,
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,Payment processing failed due to error at bank or wallet gateway,invalid_request,,Gateway,,,
