internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,timed_out,Technical,customer,,authentication,
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,cancelled,Business,customer,,authentication,N
BAD_REQUEST_NETBANKING_USER_NOT_REGISTERED,User is not registered for NetBanking payments.,not_eligible_for_netbanking,Business,customer,,authentication,N
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,Payment failed because of invalid account,netbanking_account_invalid,Business,customer,,authentication,N
BAD_REQUEST_USER_ACCOUNT_LOCKED,Your account has been locked,netbanking_account_disabled,Business,customer,,authentication,N
BAD_REQUEST_USER_ACCOUNT_DISABLED,Your account has been disabled,netbanking_account_disabled,Business,customer,,authentication,N
BAD_REQUEST_PAYMENT_BANK_SYSTEM_ERROR,Payment failed due to error in the bank system,system_down,Technical,bank,,authentication,I
BAD_REQUEST_PAYMENT_FAILED,Payment failed,declined,Technical,bank,,authorization,D
BAD_REQUEST_PAYMENT_NETBANKING_CANCELLED_BY_USER,Payment processing via netbanking cancelled by user by clicking cancel on bank transfer page,cancelled,Business,customer,,authorization,N
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,timed_out,Technical,bank,,authorization,I
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,Account Balance is insufficient,insufficient_funds,Business,customer,,authorization,N
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,Payment processing failed due to error at bank or wallet gateway,invalid_response,Technical,bank,,authorization,D
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,Payment failed because Transaction amount limit has exceeded,transaction_limit_exceeded,Business,customer,,authorization,N
BAD_REQUEST_PAYMENT_CANCELLED_AT_NETBANKING_PAYMENT_PAGE,Payment processing cancelled by customer at netbanking payment page,cancelled,Business,customer,,authorization,N
GATEWAY_ERROR_PAYMENT_FAILED,Payment processing failed due to error at bank or wallet gateway,declined,Technical,bank,,authorization,I
BAD_REQUEST_VALIDATION_FAILURE,Validation Failure,tpv_validation_failed,Technical,customer,,authorization,I
