internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,timed_out,Technical,Gateway,,Payment_response,I
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,cancelled,Business,Customer,,Authentication,N
GATEWAY_ERROR_DEBIT_FAILED,Payment failed. Please try again with another bank account.,payment_failed,Technical,Issuing Bank,,Debit_response,N
BAD_REQUEST_PAYMENT_UPI_COLLECT_REQUEST_EXPIRED,Payment failed because UPI request expired,request_expired,Business,Customer,,Authentication,N
BAD_REQUEST_PAYMENT_FAILED,Payment failed,payment_failed,Business,Issuing Bank,,Debit_response,N
GATEWAY_ERROR_DEBIT_TIMEOUT,Payment processing failed due to error at bank or wallet gateway,timed_out,Technical,Issuing Bank,,Debit_response,I
BAD_REQUEST_PAYMENT_UPI_COLLECT_REQUEST_REJECTED,Payment rejected by customer,collect_request_reject,Business,Customer,,Authentication,N
GATEWAY_ERROR_INSUFFICIENT_FUNDS_REMITTER_ACCOUNT,Transaction failed due to insufficient funds.,insufficient_funds,Business,Issuing Bank,,Payment_response,N
BAD_REQUEST_PAYMENT_UPI_INVALID_VPA,Invalid VPA. Please enter a valid Virtual Payment Address,invalid_vpa,Business,Customer,,Validate_vpa,N
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,request_time_out,Technical,Gateway,,Payment_response,I
BAD_REQUEST_UPI_INVALID_DEVICE_FINGERPRINT,Payment Failed due to issue with your UPI App. Please try again with another app or payment method,invalid_device_id,Business,Customer,,Authentication,N
GATEWAY_ERROR_PSP_NOT_AVAILABLE,Payment processing failed due to error at bank or wallet gateway,psp_unavailable,Technical,PSP,,Payment_Request,D
BAD_REQUEST_PAYMENT_PIN_INCORRECT,Incorrect Pin,incorrect_pin,Business,Customer,,Authentication,N
GATEWAY_ERROR_UNKNOWN_ERROR,Payment processing failed due to error at bank or wallet gateway,unknown_error,Technical,Gateway,,Payment_response,N
GATEWAY_ERROR_REQUEST_ERROR,Payment processing failed due to error at bank or wallet gateway,request_error,Technical,Gateway,,Payment_Request,N
GATEWAY_ERROR_UPI_REQAUTH_TIMEOUT,Payment processing failed due to error at bank or wallet gateway,request_timed_out,Technical,Gateway,,Request_beneficiary_details,I
GATEWAY_ERROR_TRANSACTION_NOT_PERMITTED,Transaction to this account is not permitted,transaction_not_permitted,Business,Customer,,Debit_response,N
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,Payment processing failed due to error at bank or wallet gateway,checksum_error,Technical,Gateway,,Payment_response,N
BAD_REQUEST_PAYMENT_UPI_REQUEST_TIMED_OUT,Payment failed because upi request timed out.,request_timed_out,Technical,Gateway,,Payment_response,I
GATEWAY_ERROR_TRANSACTION_DETAILS_MISMATCH,Payment processing failed due to error at bank or wallet gateway,invalid_transaction,Business,Gateway,,Verification,N
GATEWAY_ERROR_CONNECTION_TIMEOUT_IN_REQPAY_DEBIT,Payment processing failed due to error at bank or wallet gateway,request_timed_out,Technical,Issuing Bank,,Debit_request,I
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,Payment failed because Transaction amount limit has exceeded,limit_breach,Business,Customer,,Debit_response,N
GATEWAY_ERROR_FATAL_ERROR,Payment processing failed due to error at bank or wallet gateway,technical_error,Technical,Gateway,,Payment_response,I
GATEWAY_ERROR_TRANSACTION_PENDING,Transaction is in pending state,transaction_pending,Technical,Gateway,,Txnstatus_request,I
BAD_REQUEST_PAYMENT_PIN_ATTEMPTS_EXCEEDED,Max number of PIN retries exceeded.,pin_attempts_exceeded,Business,Customer,,Authentication,N
GATEWAY_ERROR_TOKEN_NOT_FOUND,Payment processing failed due to error at bank or wallet gateway,technical_error,Technical,Gateway,,Payment_Request,D
GATEWAY_ERROR_DENIED_BY_RISK,Payment processing failed due to error at bank or wallet gateway,risk_decline,Business,Issuing Bank,,Debit_response,N
GATEWAY_ERROR_PAYMENT_REFUND_FAILED,Payment processing failed due to error at bank or wallet gateway,refund_failed,Technical,Gateway,,Refund,I
GATEWAY_ERROR_DO_NOT_HONOUR_BENEFICIARY,Transaction processing declined on beneficiary side,invalid_beneficiary,Business,Gateway,,Payment_response,N
server_error_AMOUNT_TAMPERED,The server encountered an error. The incident has been reported to admins.,amount_tampered,Technical,Merchant,,Verification,N
GATEWAY_ERROR_INVALID_TRANSACTION_INAPPROPRIATE_CODE_REMITTER,Payment processing failed due to error at bank or wallet gateway,invalid_transaction,,Issuing Bank,,Debit_response,N
BAD_REQUEST_PAYMENT_UPI_RESTRICTED_VPA,Invalid VPA. Please enter a valid Virtual Payment Address,invalid_vpa,Business,Customer,,Authentication,N
GATEWAY_ERROR_REMITTER_CBS_OFFLINE,"Banking system is offline, please try after sometime.",bank_server_unavailable,Technical,Issuing Bank,,Debit_request,I
BAD_REQUEST_TRANSACTION_FREQUENCY_LIMIT_EXCEEDED,Payment failed because Transaction frequency limit has exceeded,limit_breach,Business,Customer,,Debit_response,N
GATEWAY_ERROR_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK_REMITTER,Suspected fraud or transaction is declined based on risk score by bank,risk_decline,Business,Issuing Bank,,Debit_response,N
GATEWAY_ERROR_INVALID_BENEFICIARY_CREDENTIALS,Beneficiary credentials are invalid,invalid_beneficiary,Business,Customer,,Payment_response,N
BAD_REQUEST_USER_NOT_FOUND,User not found with the given input,invalid_user,Business,Customer,,Payment_Request,N
BAD_REQUEST_FORBIDDEN_TRANSACTION_ON_VPA,Payment failed because transactions are not allowed on this VPA,transaction_decline,Business,Customer,,Debit_response,N
GATEWAY_ERROR_BENEFICIARY_CUTOFF_IN_PROGRESS,Payment processing failed due to error at bank or wallet gateway,invalid_beneficiary,Business,Customer,,Payment_response,N
GATEWAY_ERROR_REMITTER_COMPLIANCE_VIOLATION,Payment processing failed due to error at bank or wallet gateway,compliance_violation,Business,Issuing Bank,,Debit_response,N
GATEWAY_ERROR_INVALID_FORMAT,Payment processing failed due to error at bank or wallet gateway,invalid_request,Technical,Gateway,,Payment_Initiation,D
BAD_REQUEST_UPI_INVALID_ATM_PIN,Invalid PIN entered.,authorization_failure,Business,Customer,,Authentication,N
BAD_REQUEST_ACCOUNT_BLOCKED,Bank Account is blocked.,invalid_account,Business,Customer,,Debit_response,N
BAD_REQUEST_UPI_INVALID_BANK_ACCOUNT,Payment failed because Account linked to VPA is invalid,invalid_account,Business,Customer,,Debit_response,N
BAD_REQUEST_REGISTERED_MOBILE_NUMBER_NOT_FOUND,Registered Mobile number linked to the account has been changed/removed,invalid_account,Business,Customer,,Payment_response,N
GATEWAY_ERROR_BENEFICIARY_CBS_OFFLINE,Payment processing failed due to error at bank or wallet gateway,bank_server_unavailable,Technical,Beneficary Bank,,Credit_request,I
GATEWAY_ERROR_INVALID_RESPONSE,Payment processing failed due to error at bank or wallet gateway,invalid_response,Technical,Gateway,,Payment_response,I
GATEWAY_ERROR_INVALID_TRANSACTION_INAPPROPRIATE_CODE_BENEFICIARY,Payment processing failed due to error at bank or wallet gateway,invalid_beneficiary,Technical,Beneficary Bank,,Debit_response,N
GATEWAY_ERROR_DEBIT_FAILED_AT_BANK,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Issuing Bank,,Debit_response,I
BAD_REQUEST_UPI_MPIN_NOT_SET,Payment failed because UPI PIN is not set,no_pin_set,Business,Customer,,Payment_Request,N
GATEWAY_ERROR_VALIDATION_ERROR,Payment failed due to validation failure at bank or wallet gateway,validation_failed,Technical,Gateway,,Payment_Request,D
GATEWAY_ERROR_REVERSAL_FAILURE,Payment processing failed due to error at bank or wallet gateway,reversal_failed,Technical,Gateway,,Refund,I
server_error_ASSERTION_ERROR,The server encountered an error. The incident has been reported to admins.,technical_error,Technical,Gateway,,Payment_response,I
