internal Error Code,intermediary
GATEWAY_ERROR_FATAL_ERROR,F
GATEWAY_ERROR_REQUEST_ERROR,F
GATEWAY_ERROR_GENERIC_ERROR,F
GATEWAY_ERROR_PAYMENT_FAILED,F
GATEWAY_ERROR_INVALID_JSON,F
GATEWAY_ERROR_ORDER_EXISTS,F
GATEWAY_ERROR_INVALID_DATA,F
GATEWAY_ERROR_SYSTEM_UNAVAILABLE,F
GATEWAY_ERROR_PAYMENT_DECLINED_TERMINAL_NOT_ALLOWED,F
GATEWAY_ERROR_PAYMENT_DECLINED_CARD_NOT_ALLOWED,F
GATEWAY_ERROR_PAYMENT_DECLINED_CARD_RESTRICTED,F
GATEWAY_ERROR_REQUEST_TIMEOUT,T
GATEWAY_ERROR_DENIED_BY_RISK,F
GATEWAY_ERROR_INVALID_RESPONSE_BY_DESTINATION_BANK,F
GATEWAY_ERROR_PROCESSING_DECLINED,F
GATEWAY_ERROR_AUTHENTICATION_NOT_AVAILABLE,F
GATEWAY_ERROR_IVR_AUTHENTICATION_NOT_AVAILABLE,F
GATEWAY_ERROR_INVALID_TERMINAL_ID,F
GATEWAY_ERROR_INVALID_TERMINAL_SECRET,F
GATEWAY_ERROR_CAPTURE_GREATER_THAN_AUTH,F
GATEWAY_ERROR_PAYMENT_CAPTURE_FAILED,T
GATEWAY_ERROR_PARES_NOT_SUCCESSFUL,F
GATEWAY_ERROR_INVALID_PARES_XML,F
GATEWAY_ERROR_INVALID_PARES_FORMAT,F
GATEWAY_ERROR_PARES_DATA_MISMATCH,F
GATEWAY_ERROR_DATA_MISMATCH,F
GATEWAY_ERROR_CARD_NUMBER_MISMATCH,F
GATEWAY_ERROR_TRANSACTION_TYPE_NOT_SUPPORTED,F
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,T
GATEWAY_ERROR_UNSUPPORTED_CARD_NETWORK,F
GATEWAY_ERROR_FALSE_AUTHORIZE,F
GATEWAY_ERROR_UNKNOWN_ERROR,T
GATEWAY_ERROR_INVALID_TERMINAL,F
GATEWAY_ERROR_TERMINAL_NOT_ENABLED,F
GATEWAY_ERROR_TERMINAL_ACTION_NOT_ENABLED,F
GATEWAY_ERROR_INVALID_RESPONSE,F
GATEWAY_ERROR_TIMED_OUT,T
GATEWAY_ERROR_SYSTEM_BUSY,T
GATEWAY_ERROR_INVALID_CONFIGURATION,F
GATEWAY_ERROR_USER_INACTIVE,F
GATEWAY_ERROR_CARD_NOT_ENROLLED,F
GATEWAY_ERROR_AUTHENTICATION_STATUS_ATTEMPTED,F
GATEWAY_ERROR_AUTHENTICATION_STATUS_FAILED,F
GATEWAY_ERROR_ENROLL_STATUS_EMPTY,F
GATEWAY_ERROR_ENROLL_STATUS_INVALID,F
GATEWAY_ERROR_CARD_RUPAY_MAESTRO_NOT_ENABLED,F
GATEWAY_ERROR_SOAP_ERROR,F
GATEWAY_ERROR_DECRYPTION_FAILED,F
GATEWAY_ERROR_AMOUNT_TAMPERED,F
GATEWAY_ERROR_INVALID_FORMAT,F
SERVER_ERROR_INVALID_FORMAT,F
GATEWAY_ERROR_SUPPORT_GREATER_THAN_AUTH,F
GATEWAY_ERROR_TOKEN_ABSENT_RECURRING_PAYMENT,F
GATEWAY_ERROR_TOKEN_REGISTRATION_FAILED,F
GATEWAY_ERROR_TOKEN_INCOMPLETE,F
GATEWAY_ERROR_TOKEN_VALIDATION_FAILED,F
GATEWAY_ERROR_DUPLICATE_TOKEN,F
GATEWAY_ERROR_TOKEN_NOT_FOUND,F
GATEWAY_ERROR_CONSUMER_PAN_TAMPERED,F
GATEWAY_ERROR_MERCHANT_PAN_TAMPERED,F
GATEWAY_ERROR_INVALID_PAN_LENGTH,F
GATEWAY_ERROR_STATUS_CODE_MISMATCH,F
GATEWAY_ERROR_PIN_CRYPTOGRAPHY_ERROR,F
GATEWAY_ERROR_TRANSACTION_DECLINED,F
GATEWAY_ERROR_TRANSACTION_NOT_PRESENT,F
GATEWAY_ERROR_TERMINAL_MAX_AMOUNT_LIMIT_REACHED,F
GATEWAY_ERROR_TERMINAL_MAX_TRANSACTION_LIMIT_REACHED,F
GATEWAY_ERROR_PIN_CHANGE_FAILED,F
GATEWAY_ERROR_SWITCH_UNOPERATIVE,F
GATEWAY_ERROR_AGGREGATOR_DOWN,F
GATEWAY_ERROR_AGGREGATOR_ERROR,F
GATEWAY_ERROR_BANK_ID_NOT_ENABLED_AGGREGATOR_TERMINAL,F
GATEWAY_ERROR_ENSTAGE_ERROR,F
GATEWAY_ERROR_CAF_STATUS_ERROR,F
GATEWAY_ERROR_ISO_MESSAGE_NULL,F
GATEWAY_ERROR_ISO_MESSAGE_SEND_OR_RECEIVE_FAILURE,F
GATEWAY_ERROR_RESERVED_PRIVATE_USE,F
GATEWAY_ERROR_ECI_INVALID,F
GATEWAY_ERROR_LOADING_PAYMENT_PAGE_FAILED,F
GATEWAY_ERROR_PAYMENT_INSTRUMENT_ERROR,F
GATEWAY_ERROR_PAYMENT_INSTRUMENT_NOT_ENABLED,F
GATEWAY_ERROR_INSTITUTION_IMPS_NOT_ACTIVE,F
GATEWAY_ERROR_INVALID_INSTITUTION,F
GATEWAY_ERROR_INTERNAL_FORMAT_ERROR,F
GATEWAY_ERROR_HASH_GENERATION_ERROR,F
GATEWAY_ERROR_INVALID_CAVV,F
GATEWAY_ERROR_INVALID_MERCHANT,F
GATEWAY_ERROR_CARD_ISSUING_BANK_SYSTEM_ERROR,F
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,F
GATEWAY_ERROR_REFUND_DUPLICATE_REQUEST,F
GATEWAY_ERROR_DUPLICATE_TRANSACTION,F
GATEWAY_ERROR_REFUND_NOT_ALLOWED_ON_THE_WALLET,F
GATEWAY_ERROR_PAYMENT_INVALID_REFERENCE_NO,F
GATEWAY_ERROR_PAYMENT_INVALID_AMOUNT,F
GATEWAY_ERROR_REFUND_INVALID_AMOUNT,F
GATEWAY_ERROR_ANOTHER_REFUND_IN_PROGRESS_FOR_SAME_PAYMENT,F
GATEWAY_ERROR_PAYMENT_INVALID_ACTION,F
GATEWAY_ERROR_PAYMENT_INVALID_ID,F
GATEWAY_ERROR_PAYMENT_CANNOT_BE_RETRIEVED,F
GATEWAY_ERROR_PAYMENT_DENIED_NEGATIVE_BIN,F
GATEWAY_ERROR_PAYMENT_BIN_CHECK_FAILED,F
GATEWAY_ERROR_PAYMENT_INVALID_CURRENCY,F
GATEWAY_ERROR_PAYMENT_INVALID_UDF,F
GATEWAY_ERROR_PAYMENT_CREDIT_LESS_THAN_DEBIT,F
GATEWAY_ERROR_PAYMENT_CREDIT_GREATER_THAN_DEBIT,F
GATEWAY_ERROR_PAYMENT_SUPPORT_FAILED,F
GATEWAY_ERROR_PAYMENT_SUPPORT_AUTH_NOT_FOUND,F
GATEWAY_ERROR_PAYMENT_INVALID_MOBILE,F
GATEWAY_ERROR_PAYMENT_INVALID_EMAIL,F
GATEWAY_ERROR_PAYMENT_AUTHENTICATION_ERROR,F
GATEWAY_ERROR_PAYMENT_CHARGEBACK_ERROR,F
GATEWAY_ERROR_BANK_OFFLINE,F
GATEWAY_ERROR_ISSUER_DOWN,F
GATEWAY_ERROR_UNACCEPTABLE_TRANSACTION_FEE,F
GATEWAY_ERROR_INVALID_TRANSACTION,F
GATEWAY_ERROR_UNEXPECTED_PAYMENT_PENDING,F
GATEWAY_ERROR_CARD_INVALID_NAME,F
GATEWAY_ERROR_CARD_NUMBER_INVALID_LENGTH,F
GATEWAY_ERROR_CARD_INVALID_NUMBER,F
GATEWAY_ERROR_CARD_INVALID_EXPIRY_DATE,F
GATEWAY_ERROR_CARD_INVALID_BRAND,F
GATEWAY_ERROR_CARD_INVALID_AMOUNT,F
GATEWAY_ERROR_CARD_INVALID_ADDRESS,F
GATEWAY_ERROR_CARD_INVALID_ZIP,F
GATEWAY_ERROR_CARD_INVALID_CVV,F
GATEWAY_ERROR_CARD_MISSING_CVV,F
GATEWAY_ERROR_INVALID_CARD_NUMBER_PREFIX,F
GATEWAY_ERROR_HEADLESS_PARSING_FAILED,F
GATEWAY_ERROR_OTPELF_FAILURE,F
GATEWAY_ERROR_PAYMENT_MISSING_DATA,F
GATEWAY_ERROR_INVALID_PARAMETERS,F
GATEWAY_ERROR_INVALID_CALLBACK_URL,F
GATEWAY_ERROR_INVALID_PAYMENT_DATA,F
GATEWAY_ERROR_RECURRING_PAYMENT_NOT_FOUND,F
GATEWAY_ERROR_PAYMENT_TRANSACTION_NOT_FOUND,F
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,F
GATEWAY_ERROR_ISSUER_ACS_SYSTEM_FAILURE,F
GATEWAY_ERROR_ISSUER_ACS_INVALID_RESPONSE,F
GATEWAY_ERROR_CREDIT_CARD_NUMBER_DECRYPTION_FAILED,F
GATEWAY_ERROR_CREDIT_CARD_ENCRYPTION_FAILED,F
GATEWAY_ERROR_CARD_ENCRYPTION_FAILED,F
GATEWAY_ERROR_CRYPTO_ALOGRITHM_ERROR,F
BAD_REQUEST_DEBIT_EMI_CUSTOMER_NOT_ELIGIBLE,F
BAD_REQUEST_HDFC_DEBIT_EMI_CUSTOMER_NOT_ELIGIBLE,F
BAD_REQUEST_DEBIT_EMI_HDFC_MAXIMUM_AMOUNT_LIMIT,F
BAD_REQUEST_CARD_AVS_FAILED,F
BAD_REQUEST_CARD_STOLEN_OR_LOST,F
BAD_REQUEST_CARD_ISSUING_BANK_UNAVAILABLE,F
BAD_REQUEST_CARD_INACTIVE,F
