internal Error Code,intermediary
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,T
BAD_REQUEST_PAYMENT_TIMED_OUT,T
BAD_REQUEST_CARDLESS_EMI_USER_DOES_NOT_EXIST,F
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_NOT_APPROVED,F
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_EXPIRED,F
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_EXHAUSTED,F
BAD_REQUEST_PAYMENT_FAILED,F
BAD_REQUEST_CARDLESS_EMI_CREDIT_LIMIT_NOT_ACTIVATED,F
BAD_REQUEST_CARDLESS_EMI_MINIMUM_AMOUNT_REQUIRED,F
BAD_REQUEST_EMI_PLANS_DO_NOT_EXIST,F
BAD_REQUEST_CARDLESS_EMI_MAXIMUM_AMOUNT_LIMIT,F
GATEWAY_ERROR_CARDLESS_EMI_PAYMENT_FAILED_PARTNER,F
