internal Error Code,intermediary
BAD_REQUEST_PAYMENT_TIMED_OUT,T
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,T
SERVER_ERROR_ASSERTION_ERROR,T
GATEWAY_ERROR_MERCHANT_IP_NOT_WHITELISTED,T
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,T
GATEWAY_ERROR_REQUEST_ERROR,T
GATEWAY_ERROR_UNKNOWN_ERROR,T
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,F
BAD_REQUEST_EMANDATE_REGISTRATION_FAILED,F
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,F
BAD_REQUEST_INVALID_USER_CREDENTIALS,F
BAD_REQUEST_AUTHENTICATION_FAILED,F
BAD_REQUEST_PAYMENT_FAILED,F
BAD_REQUEST_PAYMENT_CANCELLED_AT_EMANDATE_REGISTRATION,F
BAD_REQUEST_EMANDATE_CANCELLED_INACTIVE,F
BAD_REQUEST_NETBANKING_USER_NOT_REGISTERED,F
BAD_REQUEST_EMANDATE_REGISTRATION_ACTION_NEEDED,F
BAD_REQUEST_PAYMENT_ACCOUNT_WITHDRAWAL_FROZEN,F
BAD_REQUEST_INVALID_ACCOUNT_HOLDER_NAME,F
GATEWAY_ERROR_DEBIT_FAILED,F
BAD_REQUEST_PAYMENT_NETBANKING_CANCELLED_BY_USER,F
BAD_REQUEST_ACCOUNT_CLOSED,F
BAD_REQUEST_PAYMENT_CANCELLED_BY_CUSTOMER,F
BAD_REQUEST_EMANDATE_AMOUNT_LIMIT_EXCEEDED,F
BAD_REQUEST_PAYMENT_KYC_PENDING,F
BAD_REQUEST_PAYMENT_INVALID_AMOUNT_OR_CURRENCY,F
BAD_REQUEST_NO_DR_ALLOWED,F
BAD_REQUEST_ACCOUNT_BLOCKED,F
BAD_REQUEST_PAYMENT_ACCOUNT_MAX_LIMIT_EXCEEDED,F
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD_WEBSITE_MISMATCH,F
GATEWAY_ERROR_DEBIT_BEFORE_MANDATE_START,F
