internal Error Code,intermediary
BAD_REQUEST_PAYMENT_TIMED_OUT,T
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,T
BAD_REQUEST_PAYMENT_BANK_SYSTEM_ERROR,T
GATEWAY_ERROR_REQUEST_TIMEOUT,T
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,T
GATEWAY_ERROR_PAYMENT_FAILED,T
BAD_REQUEST_PAYMENT_PENDING_AUTHORIZATION,T
GATEWAY_ERROR_REQUEST_ERROR,T
BAD_REQUEST_ERROR,T
GATEWAY_ERROR_INVALID_RESPONSE,T
GATEWAY_ERROR_UNKNOWN_ERROR,T
GATEWAY_ERROR_HEADLESS_PARSING_FAILED,T
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,T
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,T
SERVER_ERROR_RUNTIME_ERROR,T
GATEWAY_ERROR_FATAL_ERROR,T
SERVER_ERROR_LOGICAL_ERROR,T
SERVER_ERROR,T
SERVER_ERROR_NBPLUS_PAYMENT_SERVICE_FAILURE,T
BAD_REQUEST_PAYMENT_CANNOT_BE_CANCELLED,T
BAD_REQUEST_NETBANKING_USER_NOT_REGISTERED,F
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,F
BAD_REQUEST_USER_ACCOUNT_LOCKED,F
BAD_REQUEST_USER_ACCOUNT_DISABLED,F
BAD_REQUEST_PAYMENT_FAILED,T
BAD_REQUEST_PAYMENT_NETBANKING_CANCELLED_BY_USER,F
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,F
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,F
BAD_REQUEST_PAYMENT_CANCELLED_AT_NETBANKING_PAYMENT_PAGE,F
BAD_REQUEST_VALIDATION_FAILURE,F
SERVER_ERROR_MULTIPLE_SUCCESS_TRANSACTIONS_IN_VERIFY,F
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,F
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,F
SERVER_ERROR_AMOUNT_TAMPERED,F
BAD_REQUEST_PAYMENT_BANK_NOT_ENABLED_FOR_MERCHANT,F
BAD_REQUEST_INVALID_ID,F
BAD_REQUEST_PAYMENT_FEES_GREATER_THAN_AMOUNT,F
BAD_REQUEST_PAYMENT_ORDER_ALREADY_PAID,F
BAD_REQUEST_MERCHANT_NOT_LIVE_ACTION_DENIED,F
BAD_REQUEST_PAYMENT_ORDER_AMOUNT_MISMATCH,F
BAD_REQUEST_PAYMENT_ORDER_ID_REQUIRED,F
BAD_REQUEST_PAYMENT_METHOD_DOES_NOT_MATCH_ORDER_METHOD,F
SERVER_ERROR_PRICING_RULE_ABSENT,F
BAD_REQUEST_PAYMENT_AMOUNT_MORE_THAN_ORDER_AMOUNT_DUE,F
BAD_REQUEST_PAYMENT_NETBANKING_NOT_ENABLED_FOR_MERCHANT,F
BAD_REQUEST_URL_NOT_FOUND,F
BAD_REQUEST_PAYMENT_ALREADY_PROCESSED,F
