internal Error Code,intermediary
GATEWAY_ERROR_CONNECTION_TIMEOUT_IN_REQPAY_CREDIT,T
GATEWAY_ERROR_CREDIT_TIMEOUT,T
GATEWAY_ERROR_TRANSACTION_PENDING,T
GATEWAY_ERROR_CREDIT_REVERSAL_TIMEOUT,T
GATEWAY_ERROR_VALIDATION_ERROR,T
GATEWAY_ERROR_BENEFICIARY_CUTOFF_IN_PROGRESS,T
BAD_REQUEST_REFUND_FAILED,T
BAD_REQUEST_PAYMENT_UPI_COLLECT_REQUEST_REJECTED,T
GATEWAY_ERROR_UPI_REQAUTH_TIMEOUT,T
GATEWAY_ERROR_DEBIT_TIMEOUT,T
GATEWAY_ERROR_CONNECTION_TIMEOUT_IN_REQPAY_DEBIT,T
GATEWAY_ERROR_NPCI_RESPONSE_TIMEOUT,T
GATEWAY_ERROR_BANK_OFFLINE,T
GATEWAY_ERROR_TIMED_OUT,T
GATEWAY_ERROR_TECHNICAL_ERROR,T
BAD_REQUEST_PAYMENT_FAILED,T
BAD_REQUEST_PAYMENT_PENDING,T
BAD_REQUEST_PAYMENT_TIMED_OUT,T
GATEWAY_ERROR_UNKNOWN_ERROR,T
GATEWAY_ERROR_REQUEST_ERROR,T
BAD_REQUEST_PAYMENT_UPI_COLLECT_REQUEST_PENDING,T
BAD_REQUEST_VALIDATION_FAILURE,T
GATEWAY_ERROR_CREDIT_FAILED,T
GATEWAY_ERROR_BENEFICIARY_CBS_OFFLINE,T
GATEWAY_ERROR_REVERSAL_FAILURE,T
GATEWAY_ERROR_ENCRYPTION_ERROR,T
GATEWAY_ERROR_REQAUTH_DECLINED,T
GATEWAY_ERROR_DEBIT_FAILED,T
GATEWAY_ERROR_DEBIT_FAILED_AT_BANK,T
GATEWAY_ERROR_INTERNAL_FORMAT_ERROR,T
BAD_REQUEST_PAYMENT_UPI_COLLECT_REQUEST_EXPIRED,T
GATEWAY_ERROR_INVALID_REQUEST_BODY,T
GATEWAY_ERROR_PSP_NOT_AVAILABLE,F
GATEWAY_ERROR_REMITTER_CBS_OFFLINE,F
GATEWAY_ERROR_INVALID_TRANSACTION_INAPPROPRIATE_CODE_BENEFICIARY,F
GATEWAY_ERROR_INACTIVE_DORMANT_BENEFICIARY_ACCOUNT,F
GATEWAY_ERROR_BENEFICIARY_ACCOUNT_DOES_NOT_EXIST,F
GATEWAY_ERROR_INVALID_BENEFICIARY_CREDENTIALS,F
GATEWAY_ERROR_BENEFICIARY_ACCOUNT_BLOCKED,F
GATEWAY_ERROR_BENEFICIARY_INTERNAL_EXCEPTION,F
GATEWAY_ERROR_BENEFICIARY_COMPLIANCE_VIOLATION,F
GATEWAY_ERROR_BENEFICIARY_TRANSACTION_NOT_PERMITTED,F
GATEWAY_ERROR_BENEFICIARY_EXPIRED_CARD,F
GATEWAY_ERROR_INVALID_TRANSACTION_INAPPROPRIATE_CODE_REMITTER,F
GATEWAY_ERROR_NO_ORIGINAL_DEBIT_CREDIT_REQUEST_FOUND,F
GATEWAY_ERROR_TRANSACTION_NOT_PERMITTED,F
GATEWAY_ERROR_INSUFFICIENT_FUNDS_REMITTER_ACCOUNT,F
GATEWAY_ERROR_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK_BENEFICARY,F
GATEWAY_ERROR_BANK_ACCOUNT_CREDIT_PROCESS_FAILED,F
GATEWAY_ERROR_BENEFICIARY_DUPLICATE_RRN_FOUND,F
GATEWAY_ERROR_DO_NOT_HONOUR_BENEFICIARY,F
GATEWAY_ERROR_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK_REMITTER,F
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,F
BAD_REQUEST_UPI_MPIN_NOT_SET,F
BAD_REQUEST_REGISTERED_MOBILE_NUMBER_NOT_FOUND,F
BAD_REQUEST_EXPIRED_VPA,F
BAD_REQUEST_UPI_INVALID_BANK_ACCOUNT,F
GATEWAY_ERROR_REMITTER_COMPLIANCE_VIOLATION,F
BAD_REQUEST_PAYMENT_PIN_ATTEMPTS_EXCEEDED,F
BAD_REQUEST_TRANSACTION_FREQUENCY_LIMIT_EXCEEDED,F
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,F
BAD_REQUEST_FORBIDDEN_TRANSACTION_ON_VPA,F
BAD_REQUEST_PAYMENT_UPI_RESTRICTED_VPA,F
BAD_REQUEST_PAYMENT_UPI_INVALID_VPA,F
BAD_REQUEST_PAYMENT_PIN_INCORRECT,F
GATEWAY_ERROR_DENIED_BY_RISK,F
BAD_REQUEST_PSP_DOESNT_EXIST,F
GATEWAY_ERROR_VPA_RESOLUTION_FAILED,F
GATEWAY_ERROR_TRANSACTION_DETAILS_MISMATCH,F
BAD_REQUEST_UPI_INVALID_DEVICE_FINGERPRINT,F
BAD_REQUEST_PAYMENT_UPI_MULTIPLE_ACCOUNTS_LINKED,F
GATEWAY_ERROR_FATAL_ERROR,F
BAD_REQUEST_UPI_INVALID_ATM_PIN,F
BAD_REQUEST_FORBIDDEN,F
BAD_REQUEST_PAYMENT_UPI_FUNCTION_NOT_SUPPORTED,F
BAD_REQUEST_INVALID_CARD_DETAILS,F
BAD_REQUEST_ACCOUNT_BLOCKED,F
GATEWAY_ERROR_REMITTER_DUPLICATE_RRN_FOUND,F
GATEWAY_ERROR_DO_NOT_HONOUR_REMITTER,F
BAD_REQUEST_PSP_ERROR,F
BAD_REQUEST_P2P_REGISTRATION_CARD_EXPIRED,F
BAD_REQUEST_PAYMENT_UPI_DEVICE_MISSING,F
BAD_REQUEST_PAYMENT_UPI_MOBILE_NUMBER_MAPPED_TO_MULTIPLE_CUSTOMERS,F
GATEWAY_ERROR_FORMATTING_FAILED,F
BAD_REQUEST_ACCOUNT_CLOSED,F
BAD_REQUEST_DUPLICATE_REQUEST,F
BAD_REQUEST_UNAUTHORIZED,F
GATEWAY_ERROR_CARD_INVALID_AMOUNT,F
BAD_REQUEST_PAYMENT_UPI_DEBIT_AND_CREDIT_SAME_ACCOUNT,F
GATEWAY_ERROR_INVALID_FORMAT,F
GATEWAY_ERROR_FUNDS_BLOCKED_BY_MANDATE,F
GATEWAY_ERROR_UPI_COOLING_PERIOD_TRANSACTION_LIMIT_EXCEEDS,F
GATEWAY_ERROR_DEBIT_NOT_ALLOWED_FOR_BANK,F
GATEWAY_ERROR_UPI_PER_DAY_LIMIT_EXCEEDS,F
BAD_REQUEST_PAYMENT_CARD_DETAILS_INVALID,F
