internal Error Code,intermediary
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,T
BAD_REQUEST_PAYMENT_TIMED_OUT,T
SERVER_ERROR_RUNTIME_ERROR,T
BAD_REQUEST_PAYMENT_PENDING,T
GATEWAY_ERROR_UNKNOWN_ERROR,T
GATEWAY_ERROR_FATAL_ERROR,T
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,T
GATEWAY_ERROR_INTERNAL_SERVER_ERROR,T
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,T
GATEWAY_ERROR_REQUEST_ERROR,T
GATEWAY_ERROR_INVALID_PARAMETERS,T
GATEWAY_ERROR_UNEXPECTED_PAYMENT_PENDING,T
SERVER_ERROR_LOGICAL_ERROR,T
GATEWAY_ERROR_INVALID_REQUEST_BODY,T
GATEWAY_ERROR_REQUEST_TIMEOUT,T
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,T
BAD_REQUEST_PAYMENT_FAILED,F
BAD_REQUEST_PAYMENT_WALLET_INSUFFICIENT_BALANCE,T
BAD_REQUEST_PAYMENT_OLA_MONEY_ACCOUNT_DOES_NOT_EXIST_FOR_NUMBER,F
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD_WEBSITE_MISMATCH,F
BAD_REQUEST_PAYMENT_OTP_EXPIRED,F
BAD_REQUEST_PAYMENT_OTP_VALIDATION_ATTEMPT_LIMIT_EXCEEDED,F
BAD_REQUEST_VALIDATION_FAILURE,F
BAD_REQUEST_PAYMENT_WALLET_ACCOUNT_ALREADY_EXIST_WITH_EMAIL,F
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,F
BAD_REQUEST_INVALID_ID,F
BAD_REQUEST_PAYMENT_OTP_INCORRECT,F
BAD_REQUEST_PAYMENT_INVALID_EMAIL,F
BAD_REQUEST_PAYMENT_CANCELLED_AT_LOGIN_SCREEN,F
BAD_REQUEST_PAYMENT_WALLET_BLOCKED_CUSTOMER,F
BAD_REQUEST_PAYMENT_BLOCKED_DUE_TO_FRAUD,F
BAD_REQUEST_PAYMENT_INVALID_MOBILE,F
GATEWAY_ERROR_INVALID_ACCOUNT,F
