id,privilege_id,action,authz_roles,meta_data
uid1,1,view,"[""account_info_view_only""]","{""label"" : ""View"", ""description"":""View and download account statement & balance"", ""tooltip"":""""}"
uid2,2,create,"[""payout_admin"", ""fundaccount_admin"", ""contact_admin"", ""workflow_view_only"", ""payout_link_admin""]","{""label"" : ""Create, Mark as Paid"", ""description"":""Create payouts, contacts & fund accounts, Mark invoices as paid"", ""tooltip"":""""}"
uid3,2,view,"[""payout_view_only"", ""fundaccount_view_only"", ""contact_view_only"", ""workflow_view_only"", ""payout_link_view_only""]","{""label"" : ""View"", ""description"":""View and download payouts"", ""tooltip"":""View by default on access to create, mark as paid""}"
uid4,3,create,"[""invoice_admin""]","{""label"" : ""Create, Edit, Cancel"", ""description"":""Create, edit and cancel invoices"", ""tooltip"":""""}"
uid5,3,view,"[""invoice_view_only""]","{""label"" : ""View"", ""description"":""Can view and download Invoices"", ""tooltip"":""View by default on access to create, edit, cancel""}"
uid6,4,create,"[""tax_admin""]","{""label"" : ""Create, Mark as Paid"", ""description"":""Can create and mark tax payments as paid"", ""tooltip"":""""}"
uid7,4,view,"[""tax_view_only""]","{""label"" : ""View"", ""description"":""View and download tax payments"", ""tooltip"":""View by default on access to create, mark as paid""}"
uid8,5,view,,"{""label"" : ""View"", ""description"":""View and download custom reports"", ""tooltip"":""""}"
uid9,6,create,,"{""label"" : ""Edit"", ""description"":"""", ""tooltip"":""""}"
uid10,6,view,,"{""label"" : ""View"", ""description"":"""", ""tooltip"":""View by default on access to edit""}"
uid11,7,create,,"{""label"" : ""Add, Edit"", ""description"":""Add team members, create, edit roles and add them to workflows"", ""tooltip"":""""}"
uid12,7,view,,"{""label"" : ""View"", ""description"":""View team members, roles & permissions, workflows"", ""tooltip"":""View by default on access to add, edit""}"
uid13,8,create,"[""dev_controls_admin""]","{""label"" : ""Edit"", ""description"":""Generate API Keys and Webhooks"", ""tooltip"":""""}"
uid14,8,view,"[""dev_controls_view_only""]","{""label"" : ""View"", ""description"":""View API Keys and Webhooks"", ""tooltip"":""View by default on access to edit""}"
uid13,9,create,,"{""label"" : ""Edit"", ""description"":""Edit business details and tax details"", ""tooltip"":""""}"
uid14,9,view,,"{""label"" : ""View"", ""description"":""View business details and tax details"", ""tooltip"":""View by default on access to edit""}"
